,Place,Months,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,first,second,third,avgd19,diff,flood
0,Davao,Jan,3.5,5.5,5.5,3.0,3.25,5.0,5.25,3.75,4.25,2.75,3.25,4.0,3.0,2.5,4.0,4.5,4.0,3.5,2.75,2.5,4.0,2.75,4.25,4.25,4.75,3.5,2.5,2.75,4.0,3.5,3.5,41.75,34.0,39.75,0.9166666666666666,0.75,0
1,Davao,Feb,2.0,4.0,2.75,2.75,2.25,3.75,5.5,3.75,2.0,4.0,2.5,2.25,5.5,4.25,2.75,2.25,3.25,2.25,4.25,3.5,4.25,2.25,3.75,3.25,4.0,3.0,2.5,4.5,5.0,0.0,0.0,32.75,32.75,32.5,1.4166666666666667,2.0,0
2,Davao,Mar,4.5,4.75,3.0,2.75,4.25,4.25,3.75,3.75,2.0,2.5,2.0,2.75,2.75,2.25,3.0,2.25,3.5,4.25,2.5,2.75,3.25,2.75,3.25,5.25,2.5,3.75,3.25,5.0,3.0,3.5,2.75,35.5,28.0,38.25,0.8333333333333334,1.75,0
3,Davao,Apr,4.25,3.25,2.667,2.75,2.25,2.75,2.75,3.75,4.25,2.25,3.25,3.75,3.5,3.5,3.5,2.5,2.25,2.5,4.25,3.5,3.25,2.75,2.5,2.0,4.0,4.5,3.0,4.5,4.0,0.0,0.0,30.916999999999998,32.5,30.5,1.4166666666666667,1.75,0
4,Davao,May,4.5,5.0,5.0,2.75,2.5,3.0,2.0,4.0,2.0,5.75,3.5,4.75,5.75,8.0,2.75,2.5,5.0,3.25,6.5,4.0,3.25,3.25,4.25,2.5,2.25,3.75,4.25,7.5,2.0,4.75,2.75,36.5,46.0,40.5,2.1666666666666665,3.25,1
5,Davao,Jun,2.75,4.75,6.75,5.0,3.75,5.75,6.75,5.25,5.0,4.0,4.25,4.25,2.667,5.5,3.25,4.25,3.5,4.5,2.0,3.75,2.25,2.25,3.5,2.75,3.75,3.25,5.0,3.5,4.5,2.75,0.0,49.75,37.917,33.5,0.6666666666666666,2.5,0
6,Davao,Jul,7.5,4.3333333,3.5,3.0,3.0,3.75,4.5,3.25,2.5,5.0,2.75,2.5,3.0,4.75,3.25,2.5,3.0,2.25,3.25,3.0,2.75,5.5,3.75,3.25,2.75,4.5,3.3333333,4.0,4.5,6.25,5.75,40.3333333,30.25,46.3333333,1.0833333333333333,1.0,0
7,Davao,Aug,4.25,4.5,4.5,5.25,4.25,5.0,5.5,5.0,4.25,5.0,4.0,4.75,4.75,3.0,2.25,4.25,4.5,5.5,4.25,3.25,2.75,5.5,3.0,3.5,2.75,2.5,6.25,3.0,3.5,6.5,4.0,47.5,40.5,43.25,1.4166666666666667,1.25,0
8,Davao,Sep,3.5,3.75,2.5,2.25,3.5,2.75,4.5,2.25,4.25,3.5,2.75,2.0,3.25,5.25,6.0,8.5,6.75,4.25,2.75,3.5,3.0,3.0,5.0,6.75,2.75,4.5,5.0,2.5,7.5,3.5,0.0,32.75,45.0,43.5,0.9166666666666666,1.5,1
9,Davao,Oct,4.0,5.0,4.0,3.5,3.25,5.75,6.0,5.0,3.25,3.75,4.0,3.5,6.25,6.0,3.75,3.25,5.5,4.5,5.0,4.0,3.75,5.75,5.25,3.5,4.5,4.25,5.0,5.5,4.75,3.25,4.5,43.5,45.75,50.0,1.6666666666666667,0.5,1
10,Davao,Nov,4.5,4.25,3.25,2.75,3.75,4.5,2.75,3.25,2.25,5.0,4.0,4.0,3.25,2.25,2.5,3.5,3.75,2.75,2.75,4.0,2.0,2.5,2.25,5.75,5.5,2.5,5.5,3.25,2.0,2.5,0.0,36.25,32.75,33.75,0.9166666666666666,0.0,0
11,Davao,Dec,4.5,4.5,4.25,6.0,4.0,5.0,5.5,3.75,2.75,2.5,3.5,3.0,3.75,3.75,5.0,4.25,5.0,5.5,4.5,3.5,4.0,2.75,2.75,3.0,4.0,4.0,4.25,6.5,4.75,4.0,3.75,42.75,41.75,43.75,1.5,1.0,0
